Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
42,0,498,0,999,0.25,2500,374,100,0,59.025402110984956
43,0,498,0,999,0.25,2500,366,63,50,25
44,0,498,0,999,0.25,2500,375,66,100,25
45,0,498,0,999,0.25,2500,363,10,0,46.70502277494273
46,0,498,0,999,0.25,2500,377,19,0,28.733117371166152
47,0,498,0,999,0.25,2500,358,23,100,25
48,0,498,0,999,0.25,2500,372,59,50,42.32426582643587
49,0,498,0,999,0.25,2500,366,95,100,25.812488054149007
50,0,498,0,999,0.25,2500,366,54,0,30.458836467289736
51,0,498,0,999,0.25,5000,442,41,100,25.285074048493804
52,0,498,0,999,0.25,5000,440,82,100,25.00260272850406
53,0,498,0,999,0.25,5000,435,44,100,25.00000150142785
54,0,498,0,999,0.25,5000,442,89,100,35.875376554759185
55,0,498,0,999,0.25,5000,442,8,0,25.000005577689592
56,0,498,0,999,0.25,5000,423,71,100,25
57,0,498,0,999,0.25,5000,434,5,50,25.002446121994915
58,0,498,0,999,0.25,5000,442,58,100,25.010465382436593
59,0,498,0,999,0.25,5000,438,30,0,26.52313903207543
60,0,498,0,999,0.25,5000,422,13,50,25
61,0,498,0,999,0.75,2500,371,82,0,27.015122346774373
62,0,498,0,999,0.75,2500,0,83,50,0
63,0,498,0,999,0.75,2500,372,5,50,26.153983138463996
64,0,498,0,999,0.75,2500,0,99,0,0
65,0,498,0,999,0.75,2500,383,26,100,34.983903436345344
66,0,498,0,999,0.75,2500,368,37,100,46.82796317406617
67,0,498,0,999,0.75,2500,0,100,100,0
68,0,498,0,999,0.75,2500,385,68,50,53.924584568622514
69,0,498,0,999,0.75,2500,0,42,0,0
70,0,498,0,999,0.75,2500,0,74,50,0
71,0,498,0,999,0.75,5000,437,71,100,25.20902893916134
72,0,498,0,999,0.75,5000,444,59,0,25.204183775456315
